"","user_id","username","t_group","location","country","lat","lng","followers_count","friends_count"
"3743",699647816021340160,"james_gohagan","C","Missouri, USA","US",37.96425,-91.83183,14,7
"3744",700406753654136832,"MartyMa15310832","C","Ontario, Canada","CA",51.25378,-85.32321,65,118
"3745",700458359955312640,"ParodyTrump","C","Everywhere","US",37.66588,-91.84793,72,1
"3746",700470686444224512,"gjlos24","C","Boise, ID","US",43.61871,-116.21461,208,205
"3747",700702364790087680,"denisemuro1","C","Bayport, NY","US",40.73843,-73.05067,7,23
"3748",700705843587784704,"VoylesRoger","C","Bartlett, TN","US",35.20453,-89.87398,44,39
"3749",700752617329160192,"TrumpAdvisor1","C","","",0,0,1,12
"3750",700782582972157952,"dtberliner","C","Washington, DC area","US",38.9534,-77.03846,47,321
"3751",700812850873311232,"UberMasque","T","","",0,0,71,268
"3752",700867954590752768,"getgetjackson","C","","",0,0,102,173
"3753",700906632050507776,"Suqmadiq870Fuk","C","","",0,0,23,48
"3754",700998875901992960,"myvoice_2016","C","Pennsylvania, USA","US",41.20332,-77.19452,133,195
"3755",701191479654481920,"kentran65","T","","",0,0,2,2
"3756",701203468405477376,"KathySp42502333","C","","",0,0,9,5
"3757",701280249334476800,"Osiaustine","C","","",0,0,59,17
"3758",701408955986223104,"CherylHodge13","C","","",0,0,66,23
"3759",701432679808499712,"SocialWorkerTor","C","","",0,0,16,137
"3760",701511379052843008,"Jnetab","C","South Carolina, USA","US",33.83608,-81.16372,66,23
"3761",701512373547483136,"LauraMattews","T","Morganfield, KY","US",37.68338,-87.91669,24,115
"3762",701536242169733120,"Mark_Asht0n","C","","",0,0,52,7
"3763",701569899982749696,"NorthCa4Trump","C","California, USA","US",36.77826,-119.41793,57,40
"3764",701579985656664064,"_mariehosep","C","","",0,0,93,193
"3765",701603772754108416,"samsonconcrete","C","Phillipsburg, NJ","US",40.69371,-75.19018,2,7
"3766",701613078878806016,"evbot16","C","Canada","CA",56.13037,-106.34677,227,331
"3767",701627647709749248,"tspark128","C","","",0,0,339,472
"3768",701773280311554048,"iconicfreedom1","T","Scottsdale, AZ","US",33.49417,-111.92605,59,72
"3769",701794492186144768,"KimmberlyOrr","C","Missouri, USA","US",37.96425,-91.83183,86,115
"3770",701875869569003520,"Hoka_lee","T","Singapore","SG",1.35208,103.81984,132,408
"3771",701883791862841344,"CalvinHoneycut1","T","","",0,0,16,13
"3772",701904890809810944,"GGreen12834","C","","",0,0,14,27
"3773",701922608489570304,"Andy_B_El_Chivo","C","","",0,0,24,117
"3774",701935676640641024,"RebaSpencer16","C","","",0,0,17,34
"3775",701945225955020800,"Memie1990S","C","","",0,0,4,4
"3776",701951241694396416,"karibelad","C","Miami, FL","US",25.76168,-80.19179,10,43
"3777",701999718046560256,"MJMSiren","C","","",0,0,8,29
"3778",702141174887403520,"dreamerj11","C","","",0,0,86,145
"3779",702149280828510208,"goatfarminghulk","C","","",0,0,7,16
"3780",702149869151113216,"CarolBirdsall","C","","",0,0,5,11
